日期,憤怒,羨慕,恐懼,悲傷,希望,快樂,愛,厭惡,不滿,Score,Sleep,Sleeptime,AvgHeartRate,SocialApp,GameApp,FunApp,OtherApp,Temperture,Humidity,Sunshine,Airquality
2019/5/20,0,0,0,3,0,0,0,0,2,10003,4,2,0,0.72 ,0.28 ,0.00 ,0.00 ,2,4,1,2
2019/5/21,0,0,0,0,3,3,0,0,0,10005,4,1,3,0.60 ,0.25 ,0.15 ,0.00 ,2,2,3,3
2019/5/22,0,0,2,1,0,3,0,0,1,10003,4,1,2,0.70 ,0.30 ,0.00 ,0.00 ,2,2,0,1
2019/5/23,0,0,3,1,0,2,0,0,0,10003,4,2,2,0.38 ,0.51 ,0.11 ,0.00 ,2,4,3,2
2019/5/24,0,2,0,3,0,0,0,0,2,10003,4,1,2,0.44 ,0.56 ,0.00 ,0.00 ,3,2,5,2
2019/5/25,0,10,0,0,2,3,6,0,0,10001,4,2,2,0.19 ,0.69 ,0.12 ,0.00 ,3,2,5,1
2019/5/26,0,0,0,0,0,3,5,0,0,10001,4,3,3,0.76 ,0.24 ,0.00 ,0.00 ,3,4,5,2
2019/5/27,0,2,2,0,0,1,0,0,0,10005,4,2,3,0.32 ,0.68 ,0.00 ,0.00 ,3,4,3,1
2019/5/28,0,2,5,7,0,0,0,4,2,10002,4,1,1,0.12 ,0.69 ,0.19 ,0.00 ,2,4,1,2
2019/5/29,5,2,3,3,0,0,0,0,3,10002,4,2,2,0.27 ,0.63 ,0.10 ,0.00 ,2,4,2,2
2019/5/30,0,6,3,2,0,3,3,0,3,10003,4,1,2,0.27 ,0.63 ,0.10 ,0.00 ,0,4,1,3
2019/5/31,0,0,0,0,0,2,0,2,1,10003,4,1,1,0.54 ,0.46 ,0.00 ,0.00 ,3,4,1,2
2019/6/1,3,4,0,0,2,4,0,0,0,10001,4,2,2,0.40 ,0.48 ,0.00 ,0.12 ,3,4,1,2
2019/6/2,0,10,3,2,0,3,7,0,0,10001,3,1,2,0.33 ,0.42 ,0.00 ,0.25 ,3,4,1,1
2019/6/3,0,0,0,2,0,2,0,0,0,10003,4,3,2,0.00 ,0.00 ,1.00 ,0.00 ,3,4,2,1
2019/6/4,0,0,2,2,2,2,0,0,0,10003,4,1,2,1.00 ,0.00 ,0.00 ,0.00 ,3,4,2,1
2019/6/5,0,0,0,3,2,2,0,1,1,10003,4,1,2,0.00 ,0.00 ,1.00 ,0.00 ,3,4,1,1
2019/6/6,0,3,0,0,0,1,0,0,0,10003,3,1,2,0.49 ,0.00 ,0.51 ,0.00 ,3,4,1,1
2019/6/7,0,2,0,0,0,5,3,0,0,10001,4,2,2,0.58 ,0.43 ,0.00 ,0.00 ,3,4,1,1
2019/6/8,0,0,3,1,0,0,0,2,0,10003,3,3,3,0.25 ,0.00 ,0.48 ,0.27 ,3,4,1,1
2019/6/24,0,2,0,0,1,2,0,0,2,10003,4,1,2,0.57 ,0.43 ,0.00 ,0.00 ,2,4,0,1
2019/6/25,0,2,0,2,0,0,0,1,0,10003,4,1,1,0.26 ,0.74 ,0.00 ,0.00 ,3,4,5,1
2019/6/26,0,10,5,8,8,0,0,3,1,10004,2,2,3,0.39 ,0.34 ,0.27 ,0.00 ,3,4,3,1
2019/6/27,0,2,3,0,0,6,6,0,2,10001,4,1,2,0.69 ,0.15 ,0.16 ,0.00 ,3,4,2,0
2019/6/28,0,10,0,0,0,5,4,0,3,10001,4,1,2,0.15 ,0.75 ,0.09 ,0.00 ,3,4,1,1
2019/6/29,0,0,3,0,0,0,0,2,3,10003,4,1,2,0.42 ,0.41 ,0.17 ,0.00 ,3,4,1,0
2019/6/30,0,5,5,3,0,0,0,3,3,10004,4,1,0,0.24 ,0.49 ,0.00 ,0.27 ,3,4,2,1
