日期,憤怒,羨慕,恐懼,悲傷,希望,快樂,愛,厭惡,不滿,Score,Sleep,Sleeptime,AvgHeartRate,SocialApp,GameApp,FunApp,OtherApp,Temperture,Humidity,Sunshine,Airquality
2018/12/26,0,0,0,1,3,4,4,1,0,10003,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2018/12/27,10,0,3,0,2,8,2,2,10,10003,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/28,0,0,0,4,4,7,5,0,0,10001,1,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/29,0,0,2,0,10,10,9,0,0,10001,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/30,1,2,1,3,3,2,3,4,5,10003,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2018/12/31,10,10,10,10,0,0,0,10,10,10005,0,0,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2019/1/3,8,0,0,0,2,5,3,8,10,10005,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2019/1/4,5,0,2,5,2,5,6,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2019/1/15,5,2,2,1,3,8,6,0,2,10003,4,2,0,0.00 ,0.00 ,0.00 ,0.00 ,2,3,2,1
2019/1/16,3,0,3,0,4,6,7,0,5,10001,2,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,2
2019/1/19,0,0,0,0,1,7,4,0,0,10003,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,1,2
2019/1/20,0,0,2,0,5,10,9,0,0,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,2
2019/1/21,0,0,0,0,3,7,6,0,0,10001,4,1,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,1
2019/1/22,0,0,5,5,4,9,4,0,0,10003,3,2,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,2
2019/1/23,0,0,0,0,4,5,5,0,0,10001,4,3,0,0.00 ,0.00 ,0.00 ,0.00 ,1,3,2,2
2019/3/25,2,5,10,10,2,3,2,10,10,10004,4,1,0,0.40 ,0.05 ,0.55 ,0.00 ,2,3,2,1
2019/3/26,0,0,10,0,0,6,7,0,0,10004,4,1,0,0.78 ,0.13 ,0.09 ,0.00 ,2,3,2,2
2019/3/27,10,0,0,10,6,7,0,6,6,10004,4,1,0,0.49 ,0.18 ,0.00 ,0.33 ,2,3,2,2
2019/3/28,0,0,2,2,3,5,10,2,2,10003,4,1,0,0.67 ,0.17 ,0.16 ,0.00 ,2,3,2,2
2019/3/29,10,0,0,10,0,2,10,5,5,10002,4,3,0,0.00 ,1.00 ,0.00 ,0.00 ,2,3,2,2
2019/3/30,2,0,0,0,5,7,10,0,0,10001,4,3,0,0.56 ,0.00 ,0.44 ,0.00 ,2,3,2,2
2019/3/31,0,0,0,6,5,5,5,0,0,10003,4,3,0,0.00 ,0.00 ,1.00 ,0.00 ,2,3,2,3
2019/4/1,2,0,0,0,0,3,0,0,0,10003,4,1,0,0.34 ,0.00 ,0.66 ,0.00 ,1,3,2,2
